Institution,out turn
"INDIAN INSTITUTE OF TECHNOLOGY, TIRUPATI (Id: U-0844)",104
"Indian Law Institute, Bhagwandas Road, New Delhi (Id: U-0103)",274
"Indian Statistical Institute, Kolkata (Id: U-0574)",288
"Indian Veterinary Research Institute, Izatnagar (Id: U-0518)",192
INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN (Id: U-0685),358
"Indira Gandhi Institute of Development Research, Mumbai (Id: U-0307)",44
"Indira Gandhi Institute of Medical Sciences, Patna (Id: U-0065)",117
Indira Gandhi National Open University (Id: U-0104),222809
"Indira Gandhi National Tribal University, Amarkantak (Id: U-0290)",921
"INDIRA GANDHI TECHNOLOGICAL AND MEDICAL SCIENCES UNIVERSITY, ZIRO (Id: U-0743)",14
"INDIRA GANDHI UNIVERSITY, MEERPUR (Id: U-0699)",695
"Indira Kala Sangit Vishwavidyalaya, Khairagarh (Id: U-0088)",1507
"Indraprastha Institute of Information Technology, Delhi (Id: U-0105)",340
Indrashil University (Id: U-0922),0
"Indus International University, Bathu, Una (Id: U-0185)",177
INDUS UNIVERSITY (Id: U-0663),775
"INSTITUTE OF ADVANCED RESEARCH, GANDHINAGAR (Id: U-0771)",83
"Institute of Advanced Studies in Education, Churu (Id: U-0396)",372
"Institute of Chartered Financial Analysts of India University, Meghalaya (Id: U-0343)",172
"INSTITUTE OF CHARTERED FINANCIAL ANALYSTS OF INDIA UNIVERSITY, SOLAN (Id: U-0695)",58
"Institute of Chemical Technology, Mumbai (Id: U-0308)",547
INSTITUTE OF INFRASTRUCTURE TECHNOLOGY RESEARCH AND MANAGEMENT (IITRAM) (Id: U-0765),150
"Integral University, Lucknow (Id: U-0519)",4826
"International Institute for Population Sciences, Mumbai (Id: U-0309)",200
INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY (Id: U-0970),69
"International Institute of Information Technology, Bangalore (Id: U-0221)",242
INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY BHUBANESHWAR (Id: U-1032),246
"International Institute of Information Technology, Hyderabad (Id: U-0014)",381
"Invertis University, Bareily (Id: U-0520)",1092
ISBM University (Id: U-0895),212
"Islamic University of Science & Technology, Pulwama (Id: U-0194)",848
ITM UNIVERSITY (Id: U-0633),329
"ITM UNIVERSITY, GWALIOR (Id: U-0648)",1144
"ITM VOCATIONAL UNIVERSITY, VADODARA (Id: U-0714)",285
"Jadavpur University, Kolkata (Id: U-0575)",3684
"Jagadguru Ramanandacharya Rajasthan Sanskrit University, Jaipur (Id: U-0397)",135
Jagadguru Rambhadracharya Handicapped University (Id: U-0521),506
"Jagannath University, Jaipur (Id: U-0398)",778
"JAGAN NATH UNIVERSITY, JHAJJAR (Id: U-0721)",182
"JAGRAN LAKECITY UNIVERSITY, BHOPAL (Id: U-0727)",503
"Jai Narain Vyas University, Jodhpur (Id: U-0399)",13237
"Jain university,Bangalore (Id: U-0223)",3525
"Jain Vishva Bharati Institute, Nagaur (Id: U-0400)",3456
