Playground,Auditorium,Theatre,Library,Laboratory,Conference Hall,Health Center, Gymnasium/ Fitness Center,Indoor Stadium,Common Room,Computer Center,Cafeteria,Guest House,Separate Room For Girls,Solar Power Generation,Connectivity Nkn,Connectivity Nmeict,Campus Friendly,Grievance Redressal Mechanism,"Vigilance
Cell","Opportunity
Cell",Separate Toilet For Disabled Female,Ramp Attached To Classroom ,Sexual Harassment Cell,Counselors For Student,Clinic First Aid Room,Separate Toilet For Girls,Skill Development Centre,Self Defence Class For Females,Institution Disaster Management Facilities,Count,Name
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,"Assam Don Bosco University, Guwahati (Id: U-0049)"
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,ASSAM DOWN TOWN UNIVERSITY (Id: U-0683)
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,25.0,Assam Royal Global University (Id: U-0894)
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,ASSAM SCIENCE AND TECHNOLOGY UNIVERSITY (Id: U-0673)
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,26.0,"Assam University, Silchar (Id: U-0050)"
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,ASSAM WOMEN?S UNIVERSITY (Id: U-0815)
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,ATAL BIHARI VAJPAYEE HINDI VISHWAVIDYALAYA (Id: U-0651)
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior (Id: U-0267)"
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,15.0,ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA (Id: U-0636)
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,28.0,ATMIYA UNIVERSITY (Id: U-0967)
