,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
GRAPHIC ERA HILL UNIVERSITY (Id: U-0638),229,142,4,2,1,,15,5,,,2,3,3,
"Graphic Era University, Dehradun (Id: U-0555)",272,106,3,,2,,12,1,,,9,1,5,1
G S F C UNIVERSITY (Id: U-0759),73,25,,,,,2,1,,,,,0,
"Gujarat Ayurveda University, Jamnagar (Id: U-0133)",3,,,,,,,,,,,,,
Gujarat Forensic Sciences University (Id: U-0593),31,16,,,1,,2,,,,1,1,1,2
GUJARAT MARITIME UNIVERSITY (Id: U-1036),10,5,,,,,,,,,1,,1,
"Gujarat National Law University, Gandhinagar (Id: U-0134)",26,18,,1,,1,3,,2,,1,,2,
"Gujarat Technological University, Ahmedbabd (Id: U-0135)",1,,,,,,,,,,,,,
"Gujarat University, Ahmedabad (Id: U-0136)",93,55,7,3,10,2,25,7,2,1,3,,4,5
GUJARAT UNIVERSITY OF TRANSPLANTATION SCIENCES (Id: U-0817),2,3,,,,,,,,,,,1,1
"Gujarat Vidyapith, Ahmedabad (Id: U-0137)",80,29,15,3,9,,12,1,,,1,2,,
"Gulbarga University, Gulbarga (Id: U-0219)",96,29,42,7,8,,25,11,,,5,1,4,
"Guru Angad Dev Veterinary & Animal Sciences University, Ludhiana (Id: U-0375)",171,55,6,2,1,,5,,,,6,,58,20
"Guru Ghasidas Vishwavidyalaya, Bilaspur (Id: U-0085)",296,110,51,12,19,11,87,26,2,,1,2,13,10
Guru Gobind Singh Indraprastha University (Id: U-0099),105,95,14,11,4,,3,4,3,1,4,2,5,7
"GURUGRAM UNIVERSITY, GURUGRAM (Id: U-1021)",4,5,,,,,,,,,,,,
"Guru  Jambheshwar University of Science and Technology, Hissar (Id: U-0162)",212,134,33,19,,,12,8,,,,,2,
GURU KASHI UNIVERSITY (Id: U-0653),157,161,7,9,,,8,11,,,3,1,113,111
"Gurukul Kangri Vishwavidyalaya, Haridwar (Id: U-0556)",175,60,15,2,2,1,9,1,1,,,,,
"Guru Nanak Dev University, Amritsar (Id: U-0376)",203,252,10,16,,,2,6,2,1,3,1,132,150
GURU RAVIDAS AYURVED UNIVERSITY (Id: U-0660),0,,,,,,,,,,,,,
Haridev Joshi University of Journalism & Mass Communication (Id: U-1059),5,3,,,,,,,,,,,,
"Hemchandracharya North Gujart University, Patan (Id: U-0138)",72,44,5,1,1,,26,7,,,1,,,
HEMCHAND YADAV VISHWAVIDYALAYA (Id: U-0831),,1,,,,,,,,,,,,
"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal (Id: U-0557)",230,72,15,5,3,,16,5,2,,5,,1,
HEMWATI NANDAN BAHUGUNA MEDICAL EDUCATION UNIVERSITY (Id: U-0819),2,,,,,,,,,,,,,
"Hidayatullah National Law University, Raipur (Id: U-0086)",20,11,2,,,,3,,,,2,,1,1
HIMACHAL PRADESH NATIONAL LAW UNIVERSITY SHIMLA (Id: U-1035),10,10,1,1,,,,,,,,,,
"Himachal Pradesh Technical University, Hamirpur (Id: U-0598)",14,14,3,1,1,,,3,1,,,,,
"Himachal Pradesh University , Shimla (Id: U-0183)",114,58,10,3,6,2,2,1,,1,,,3,
"HIMALAYAN UNIVERSITY, ITANAGAR (Id: U-0719)",110,71,6,1,50,48,11,1,,,8,2,29,30
"Himgiri Zee University, Dehradun (Id: U-0559)",45,27,2,1,,,,1,,,,,,1
"Hindustan Institute of Technology and Science, Kancheepuram (Id: U-0454)",289,165,12,2,1,,180,92,,,2,3,61,50
"Homi Bhabha National Institute, Mumbai (Id: U-0304)",10,,,,,,,,,,,,,
"Homoeopathy University, Jaipur (Id: U-0607)",30,15,,,1,,3,,,,1,,2,1
"ICFAI Foundation for Higher Education, Hyderabad (Id: U-0012)",231,111,5,1,,1,34,8,2,,15,4,11,7
ICFAI UNIVERSITY (Id: U-0635),11,11,1,,,1,1,,,,,,1,
IEC (INDIA EDUCATION CENTRE) UNIVERSITY (Id: U-0696),37,33,3,2,1,1,4,2,,,,1,1,1
IES UNIVERSITY (Id: U-1064),6,9,,,,,,,,,,,1,
"IFTM University, Moradabad (Id: U-0515)",232,129,25,5,,1,64,29,,,22,8,5,3
IIHMR UNIVERSITY (Id: U-0851),26,15,0,,,,1,2,,,1,,2,1
IILM UNIVERSITY (Id: U-0988),11,39,,,,,,2,,,,2,,2
IIMT University (Id: U-0889),315,165,12,8,,,104,41,,,22,9,3,3
"I.I.S. University, Jaipur (Id: U-0394)",39,205,,2,,,2,7,,,,,,25
"I K Gujral Punjab Technical University, Jalandhar (Id: U-0382)",49,41,9,4,,,1,1,,,2,,11,18
IMS UNISON UNIVERSITY (Id: U-0773),29,37,,1,,,,1,,,1,1,,1
Indian Agricultural Research Institute (KRISHI PUSHA) New Delhi. (Id: U-0101),330,137,28,8,2,2,40,17,,1,13,1,9,9
INDIAN ASSOCIATION FOR THE CULTIVATION OF SCIENCE (Id: U-1049),61,7,1,,,,1,,,,,,,
"INDIAN INSTITUTE OF ENGINEERING SCIENCE AND TECHNOLOGY, SHIBPUR (Id: U-0584)",196,38,24,4,1,,8,,,,5,,2,
"Indian Institute of Foreign Trade, Delhi (Id: U-0102)",41,28,,1,,,2,2,,1,,1,1,3
"Indian Institute of Information Technology, Allahabad (Id: U-0516)",57,10,,2,,,8,1,,,1,,1,
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR (Id: U-0953),11,2,1,,,,2,2,1,,,,,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, CHITTOOR (Id: U-0760)",16,,,,,,2,,,,,,1,
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram (Id: U-0455)",43,8,5,2,,,16,3,,,2,,1,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DHARWAD (Id: U-0803)",17,2,3,,,,3,,,,,,,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI (Id: U-0795)",33,15,2,,,,2,,,,1,1,1,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI (Id: U-0796)",11,5,,,,,1,,,,1,,,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTA (Id: U-0799)",10,5,,,,,2,,,,,,1,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM (Id: U-0802)",14,5,,,,,2,2,,,,1,9,2
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, LUCKNOW (Id: U-0801)",8,3,,,,,,,,,,,,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, NAGPUR (Id: U-0841)",14,10,2,1,1,,4,3,,,1,1,2,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, PUNE (Id: U-0804)",12,4,,,,,3,1,,,,,,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, RANCHI (Id: U-0840)",12,3,1,1,,,4,,,,,,,1
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SENAPATI (Id: U-0770)",11,2,1,,,,3,,,,,,,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SONIPAT (Id: U-0800)",3,,,,,,,,,,1,,,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRIRANGAM (Id: U-0754)",8,8,2,,,,2,4,,,,,1,
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SURAT (Id: U-0954),6,2,,1,,,2,,,,,,,
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, UNA (Id: U-0797)",14,16,1,1,,,3,2,,,,,1,3
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, VADODARA (Id: U-0798)",14,1,0,,,,4,,,,,,1,
INDIAN INSTITUTE OF MANAGEMENT AHMEDABAD (Id: U-1016),84,22,,,,,,,,,1,,9,3
INDIAN INSTITUTE OF MANAGEMENT AMRITSAR (Id: U-1001),10,9,,,,,,,,,,,2,1
INDIAN INSTITUTE OF MANAGEMENT BANGALORE (Id: U-1014),85,19,,,,,1,,,,,,2,
INDIAN INSTITUTE OF MANAGEMENT BODH GAYA (Id: U-1006),6,2,,0,,,,,,,,,,
INDIAN INSTITUTE OF MANAGEMENT INDORE (Id: U-1012),116,16,,,,,,,,,,,1,
"INDIAN INSTITUTE OF MANAGEMENT, JAMMU AND KASHMIR (Id: U-1004)",9,1,,,,,1,,,,3,,,
INDIAN INSTITUTE OF MANAGEMENT KASHIPUR (Id: U-1009),22,3,,,,,,,,,,,,
"INDIAN INSTITUTE OF MANAGEMENT, KOLKATA (Id: U-1019)",66,21,,,,,2,,,,,,1,
INDIAN INSTITUTE OF MANAGEMENT KOZHIKODE (Id: U-1013),67,10,2,,,,2,,,,2,,17,5
INDIAN INSTITUTE OF MANAGEMENT LUCKNOW (Id: U-1008),77,18,,1,,,2,,,,,,2,
"INDIAN INSTITUTE OF MANAGEMENT, NAGPUR (Id: U-1018)",14,6,1,,,,1,,,,,,,1
INDIAN INSTITUTE OF MANAGEMENT RAIPUR (Id: U-1017),22,6,,,,,1,,1,,2,,,
INDIAN INSTITUTE OF MANAGEMENT RANCHI (Id: U-1003),31,9,,,,,3,1,,,1,,2,
INDIAN INSTITUTE OF MANAGEMENT ROHTAK (Id: U-1015),15,11,,,,1,1,1,,,,,1,1
INDIAN INSTITUTE OF MANAGEMENT SAMBALPUR (Id: U-1002),6,5,,,,,,,,,,,,
"INDIAN INSTITUTE OF MANAGEMENT, SHILLONG (Id: U-1011)",17,8,2,1,,1,3,,,,,,,1
INDIAN INSTITUTE OF MANAGEMENT SIRMAUR (Id: U-1005),9,3,1,,,,1,,,,1,,1,
INDIAN INSTITUTE OF MANAGEMENT TIRUCHIRAPALLI (Id: U-1000),28,4,,,,,4,1,,,,,4,
INDIAN INSTITUTE OF MANAGEMENT UDAIPUR (Id: U-1010),28,11,,,,,,,,,,1,,
INDIAN INSTITUTE OF MANAGEMENT VISAKHAPATNAM (Id: U-1007),12,4,,,,,1,,,,2,,,
INDIAN INSTITUTE OF PETROLEUM & ENERGY (Id: U-0944),19,3,1,,,,6,,,,,,1,
INDIAN INSTITUTE OF PUBLIC HEALTH GANDHINAGAR (Id: U-0963),15,8,,,,,,,,,1,,1,
"Indian Institute of Science, Bangalore (Id: U-0220)",404,42,7,2,2,,7,2,1,,2,,121,8
"Indian Institute of Science Education & Research (IISER), Berhampur (Id: U-0828)",21,3,2,,,,2,1,,,1,,1,
"Indian Institute of Science Education & Research (IISER), Bhopal (Id: U-0272)",96,15,1,1,1,,3,,,,,,1,
"Indian Institute of Science Education & Research (IISER), Kolkata, (Id: U-0572)",106,16,3,,,,4,,,,2,,1,
"Indian Institute of Science Education & Research (IISER), Mohali (Id: U-0377)",80,17,2,,,,3,,2,,,,8,3
"Indian Institute of Science Education & Research (IISER), Pune, (Id: U-0305)",99,21,,,,,5,,,,2,2,5,
"Indian Institute of Science Education & Research (IISER), Thiruvananthapuram (Id: U-0254)",57,7,6,1,,,6,2,3,,,,6,
"Indian Institute of Science Education & Research (IISER), Tirupati (Id: U-0827)",35,7,2,,,,5,,,,,,9,1
"Indian Institute of Space Science and Technology, Thiruvananthapuram (Id: U-0255)",81,21,,,,,16,3,,,1,,11,6
"INDIAN INSTITUTE OF TEACHER EDUCATION, GANDHINAGAR (Id: U-0664)",19,26,1,2,,1,2,6,1,,,,,
"INDIAN INSTITUTE OF TECHNOLOGY (BANARAS HINDU UNIVERSITY), VARANASI (Id: U-0701)",254,39,13,3,2,,15,2,1,,7,,2,
Indian Institute of Technology Bhilai (Id: U-0946),43,3,2,,,,5,,,,3,1,3,
"Indian Institute of Technology, Bhubaneshwar (Id: U-0355)",133,12,4,1,,,11,,,,3,,2,
"Indian Institute of Technology, Chennai (Id: U-0456)",529,64,15,,2,,51,5,,,8,3,33,4
"Indian Institute of Technology, Delhi (Id: U-0100)",476,118,12,2,,,22,6,,,13,4,22,3
"Indian Institute of Technology, Dharwad (Id: U-0899)",43,5,1,,3,,,,1,,1,,5,
"Indian Institute of Technology, Gandhinagar (Id: U-0139)",105,22,,1,,,2,,,,1,,11,3
"Indian Institute of Technology, Goa (Id: U-0907)",42,7,2,,,,5,,1,,1,1,6,
"Indian Institute of Technology, Guwahati (Id: U-0053)",367,53,9,1,2,,11,,,,7,,9,3
"Indian Institute of Technology, Hyderabad (Id: U-0013)",176,24,5,1,1,,23,2,,,4,1,5,1
"Indian Institute of Technology (Indian School of Mines), Dhanbad (Id: U-0205)",288,23,25,3,6,1,54,1,1,,9,,6,
"Indian Institute of Technology, Indore (Id: U-0273)",120,15,1,,,,21,,,,7,,4,1
Indian Institute of Technology Jammu (Id: U-0906),64,10,,,1,,12,1,,,1,1,2,1
"Indian Institute of Technology, Jodhpur (Id: U-0395)",84,26,3,1,,,10,,,,3,1,1,1
"Indian Institute of Technology, Kanpur (Id: U-0517)",430,40,6,,1,,5,,,,11,2,3,
"Indian Institute of Technology, Kharagpur (Id: U-0573)",622,91,4,1,,,17,,2,,5,,9,1
"Indian Institute of Technology, Mandi (Id: U-0184)",95,26,1,,,,6,1,,1,4,1,14,4
"Indian Institute of Technology, Mumbai (Id: U-0306)",589,89,4,1,,,9,,,,8,,85,15
"Indian Institute of Technology, Palakkad (Id: U-0878)",68,20,4,2,,,7,1,,,1,,7,5
"Indian Institute of Technology, Patna (Id: U-0064)",114,12,7,,,,7,2,2,,7,,2,
"Indian Institute of Technology, Roorkee (Id: U-0560)",366,60,9,1,1,1,35,2,1,1,7,1,16,1
"Indian Institute of Technology, Ropar (Id: U-0378)",144,20,3,1,1,,14,,,,5,,8,1
"INDIAN INSTITUTE OF TECHNOLOGY, TIRUPATI (Id: U-0844)",78,6,2,1,2,,10,,,,1,,1,
"Indian Law Institute, Bhagwandas Road, New Delhi (Id: U-0103)",4,4,,1,,,,1,,,1,,,
Indian Maritime University (Id: U-0457),1,,,,,,,,,,,,,
"Indian Statistical Institute, Kolkata (Id: U-0574)",222,24,5,1,,,5,,,,2,,1,
"Indian Veterinary Research Institute, Izatnagar (Id: U-0518)",189,21,23,,1,,24,1,,,3,,2,
INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN (Id: U-0685),30,36,3,2,2,,5,8,2,,2,1,,2
"Indira Gandhi Institute of Development Research, Mumbai (Id: U-0307)",19,11,,,,,,,,,,,,
"Indira Gandhi Institute of Medical Sciences, Patna (Id: U-0065)",227,74,20,9,2,,73,20,1,,18,4,1,
"Indira Gandhi Krishi Vishwavidyalaya, Raipur (Id: U-0087)",50,7,3,1,3,1,8,1,,,,,2,1
Indira Gandhi National Open University (Id: U-0104),111,86,15,7,6,2,12,2,,,5,1,7,8
"Indira Gandhi National Tribal University, Amarkantak (Id: U-0290)",143,28,26,,7,6,40,9,4,1,5,,7,6
"INDIRA GANDHI TECHNOLOGICAL AND MEDICAL SCIENCES UNIVERSITY, ZIRO (Id: U-0743)",13,13,1,1,1,8,3,2,,,,,1,9
"INDIRA GANDHI UNIVERSITY, MEERPUR (Id: U-0699)",18,10,6,,,,1,,,,,,,
"Indira Kala Sangit Vishwavidyalaya, Khairagarh (Id: U-0088)",29,8,1,,3,1,1,2,,,,,,
"Indraprastha Institute of Information Technology, Delhi (Id: U-0105)",81,21,,,,,,,1,,3,1,3,
Indrashil University (Id: U-0922),20,9,1,,,,3,,1,,,,,1
"Indus International University, Bathu, Una (Id: U-0185)",23,10,,,,,,,,,,,,1
INDUS UNIVERSITY (Id: U-0663),97,68,3,2,,,13,2,,,,1,12,6
"INSTITUTE OF ADVANCED RESEARCH, GANDHINAGAR (Id: U-0771)",32,20,2,,,,2,5,,,,,,
"Institute of Advanced Studies in Education, Churu (Id: U-0396)",55,24,3,,,,21,6,1,1,,,2,3
"Institute of Chartered Financial Analysts of India University, Meghalaya (Id: U-0343)",23,33,,,16,24,,,,,3,1,14,25
"INSTITUTE OF CHARTERED FINANCIAL ANALYSTS OF INDIA UNIVERSITY, SOLAN (Id: U-0695)",14,11,1,,,,2,,,,,,,1
"Institute of Chemical Technology, Mumbai (Id: U-0308)",90,41,11,3,2,,8,1,,1,2,,4,1
INSTITUTE OF INFRASTRUCTURE TECHNOLOGY RESEARCH AND MANAGEMENT (IITRAM) (Id: U-0765),42,8,,,1,1,6,,,,1,,1,
"Integral University, Lucknow (Id: U-0519)",366,161,4,,,,70,26,,1,285,93,3,0
"International Institute for Population Sciences, Mumbai (Id: U-0309)",24,7,4,,3,,7,1,1,,,1,1,
INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY (Id: U-0970),22,5,2,1,3,,4,,,,2,,,
"International Institute of Information Technology, Bangalore (Id: U-0221)",33,12,,,,,,,,,,,,
INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY BHUBANESHWAR (Id: U-1032),37,12,2,,,,4,,,,,,,
"International Institute of Information Technology, Hyderabad (Id: U-0014)",67,20,,,,,,,,,4,1,1,
"Invertis University, Bareily (Id: U-0520)",116,65,7,1,,,12,6,,,4,5,1,
ISBM University (Id: U-0895),28,15,1,2,1,,21,9,1,,,,1,
"Islamic University of Science & Technology, Pulwama (Id: U-0194)",157,71,,,1,,,,,,151,69,1,2
ITM UNIVERSITY (Id: U-0633),40,26,3,1,,1,6,3,,,1,,2,1
"ITM UNIVERSITY, GWALIOR (Id: U-0648)",200,110,12,4,1,1,50,23,,,11,1,7,7
"ITM VOCATIONAL UNIVERSITY, VADODARA (Id: U-0714)",27,41,1,2,,1,3,3,,,0,0,2,1
"Jadavpur University, Kolkata (Id: U-0575)",448,146,89,22,9,7,37,6,3,,9,2,,1
"Jagadguru Ramanandacharya Rajasthan Sanskrit University, Jaipur (Id: U-0397)",20,3,,,,,,,,,,,,
Jagadguru Rambhadracharya Handicapped University (Id: U-0521),30,11,4,,,,3,1,3,5,,,,
"Jagannath University, Jaipur (Id: U-0398)",81,46,5,2,,2,23,3,,,1,,2,2
"JAGAN NATH UNIVERSITY, JHAJJAR (Id: U-0721)",54,75,4,3,,,1,5,,,2,,,4
"JAGRAN LAKECITY UNIVERSITY, BHOPAL (Id: U-0727)",49,66,,2,,,4,2,,,6,2,3,5
"Jai Narain Vyas University, Jodhpur (Id: U-0399)",203,99,41,12,28,7,25,19,1,1,3,1,10,1
"Jain university,Bangalore (Id: U-0223)",479,397,25,9,1,,139,111,,,12,17,36,31
"Jain Vishva Bharati Institute, Nagaur (Id: U-0400)",29,50,2,,,,5,2,,,,,5,32
"Jai Prakash Vishwavidyalaya, Chapra (Id: U-0066)",62,11,2,,1,,15,1,,,8,,1,
"Jaipur National University, Jaipur (Id: U-0401)",401,236,5,1,5,1,13,13,,,18,5,6,12
Jamia Hamdard (Id: U-0107),247,234,1,,,,25,23,1,1,166,111,5,9
Jamia Millia Islamia University (Id: U-0108),461,212,30,13,12,6,26,4,8,,357,119,12,21
"Janardan Rai Nagar Rajasthan Vidyapeeth,  Udaipur (Id: U-0402)",78,45,3,1,,,1,,,,3,3,3,
JANNAYAK CHANDRASHEKHAR UNIVERSITY BALLIA (Id: U-1061),2,1,,,,,1,,,,,,,
"Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry (Id: U-0368)",87,26,2,1,,,26,4,,,1,,,
"Jawaharlal Nehru Centre for Advanced Scientific Research, Banaglore (Id: U-0224)",36,7,1,,,,5,,,,1,,3,1
"Jawaharlal Nehru Krishi Vishwavidyalaya, Jabalpur (Id: U-0274)",1,,,,,,,,,,,,,
"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",230,156,39,18,9,5,67,60,,,14,14,13,3
"Jawaharlal Nehru Technological University, Hyderabad (Id: U-0017)",9,3,2,,,1,6,1,,,,,,
"Jawaharlal Nehru Technological University, Kakinada (Id: U-0015)",198,110,38,27,10,8,80,39,,,3,2,1,2
Jawahar Lal Nehru University (Id: U-0109),390,180,47,9,21,5,25,9,10,1,29,7,20,15
Jawarharlal Nehru Architecture and Fine Art University Hyderabad (Id: U-0018),66,46,10,5,3,2,34,18,,,8,3,5,4
"Jaypee Institute of Information Technology, Noida (Id: U-0522)",145,138,6,4,,,18,4,,,5,1,2,9
"JAYPEE UNIVERSITY, ANOOPSHAHR (Id: U-0792)",27,6,1,1,,,6,,,,2,,1,
"Jaypee University of Engineering & Technology, Guna (Id: U-0275)",64,9,3,,,,9,,,,,,4,1
"Jaypee University of Information Technology, Waknaghat, Solan (Id: U-0186)",85,21,,,,,4,,,,2,,8,1
JECRC UNIVERSITY (Id: U-0741),142,106,4,1,1,,21,10,,,2,1,9,9
JHARKHAND RAI UNIVERSITY (Id: U-0762),52,30,,,,,6,2,,,3,3,,
JHARKHAND RAKSHA SHAKTI UNIVERSITY (Id: U-0860),7,6,,,2,1,1,,,,,,3,
"Jharkhand University of Technology, Ranchi (Id: U-1069)",1,,,,,,,,,,,,,
JIS UNIVERSITY (Id: U-0861),90,80,2,,,,1,,,,0,,2,
"Jiwaji University, Gwalior (Id: U-0276)",53,27,2,1,,,2,3,,,,1,1,2
JK LAKSHMIPAT UNIVERSITY (Id: U-0657),37,14,2,,,,4,,,,2,,2,1
JSS ACADEMY OF HIGHER EDUCATION & RESEARCH (Id: U-0222),27,28,2,2,,,,,,,,1,,2
JSS Science and Technology University (Id: U-0931),179,123,16,6,6,2,2,1,1,,,1,1,1
J S University (Id: U-0809),160,60,22,5,,,87,32,,,10,4,,1
Junagadh Agricultural University (Id: U-0140),1,,,,,,,,,,,,,
"Jyoti Vidyapeeth Women's University, Jaipur (Id: U-0404)",147,156,5,3,,,11,12,,,3,2,2,3
"Kadi Sarva Vishwavidyalaya, Gandihnagar (Id: U-0141)",284,265,8,9,1,0,22,28,,,3,5,4,4
"Kakatiya University, Warangal (Id: U-0019)",61,35,13,9,5,3,23,12,,,1,2,,
Kalasalingam Academy of Research and Education (Id: U-0458),361,135,20,14,1,1,305,106,2,1,9,2,25,16
"Kalinga Institute of Industrial Technology, Bhubaneswar (Id: U-0356)",711,406,,1,,1,10,2,,,2,2,,3
KALINGA INSTITUTE OF SOCIAL SCIENCES (KISS) DEEMED TO BE UNIVERSITY (Id: U-1033),27,35,4,1,,,1,,,,,,1,2
"KALINGA UNIVERSITY, RAIPUR (Id: U-0711)",262,161,,,,,9,7,,,6,1,1,3
KALOJI NARAYANA RAO UNIVERSITY OF HEALTH SCIENCES (Id: U-0867),1,,,,,,,,,,,,,
"Kalyani University, Kalyani (Id: U-0576)",156,48,33,5,5,2,11,4,,,7,1,2,2
"KAMDHENU UNIVERSITY, GANDHINAGAR (Id: U-0706)",5,,,,,,2,,,,,,,
"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga (Id: U-0067)",16,4,,,,,4,,,,,,,
"Kannada University, Hampi, Kamalapura (Id: U-0226)",52,7,16,,7,3,22,,1,,1,,,
"Kannur University, Kannur (Id: U-0256)",73,86,10,8,,,40,61,,1,12,14,8,8
"KARNATAKA JANAPADA VISHWAVIDYALAYA, GOTAGODI (Id: U-0659)",31,5,12,2,,,17,2,1,,2,1,2,
Karnataka Sanskrit University (Id: U-0625),21,3,3,,1,1,5,1,,,,,,
Karnataka State Dr. Gangubai Hangal Music And Performing Arts University (Id: U-0624),13,17,4,1,,,7,5,,,,,,
"Karnataka State Law University, Hubli (Id: U-0227)",15,11,,2,1,,3,2,,,,,,
"Karnataka State Open University, Mysore (Id: U-0228)",48,28,13,6,4,2,24,17,,,1,,,
Karnataka State Rural Development and Panchayat Raj University (Id: U-0887),34,13,6,,2,2,13,8,,,,,1,1
"Karnataka State Women University, Bijapur (Id: U-0229)",72,64,19,13,6,2,23,40,,,9,8,2,3
"Karnataka University, Dharwad (Id: U-0230)",198,64,69,9,30,4,40,18,,,7,8,4,
"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar (Id: U-0231)",5,,1,,,,,,,,,,,
Karnavati University (Id: U-0914),147,105,3,,,,5,3,,,3,,2,1
"Karpagam Academy of Higher Education, Coimbatore (Id: U-0459)",238,170,19,9,,,199,142,,,5,7,14,18
"Karunya Institute of Technology and Sciences, Coimbatore (Id: U-0460)",266,175,12,6,,,213,149,,,1,1,182,122
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon (Id: U-0320)",80,10,8,,5,,6,1,,,2,,6,
"Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya, Ramtek (Id: U-0310)",21,20,1,2,,,5,9,1,1,,,2,2
"KAZI NAZRUL UNIVERSITY, ASANSOL (Id: U-0718)",70,20,20,3,1,3,16,,,1,9,,,2
KAZIRANGA UNIVERSITY (Id: U-0682),94,34,1,,4,,21,5,,,8,2,2,1
"Kerala Agricultural University, Thrissur (Id: U-0257)",104,215,9,19,1,,56,80,,,20,13,19,52
"Kerala University of Fisheries & Ocean Studies, Kochi (Id: U-0259)",30,16,1,2,,,5,,,,4,1,5,4
KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES (Id: U-0630),4,,,,,,,,,,,,,
"Kerala Veterinary & Animal Science University, Wayanad (Id: U-0261)",127,125,5,11,1,,49,40,,,18,9,30,34
KHAJA BANDANAWAZ UNIVERSITY (Id: U-1037),30,46,,,,,11,26,,,21,37,,
KHALLIKOTE UNIVERSITY (Id: U-0955),23,7,5,1,2,1,3,1,1,,1,,,1
KHWAJA MOINUDDIN CHISHTI URDU ARABI FARSI UNIVERSITY (Id: U-0547),56,33,4,2,,,15,10,,,41,13,,1
KING GEORGE MEDICAL UNIVERSITY (Id: U-0523),263,112,55,23,,,71,20,1,,17,,3,2
K K University (Id: U-0919),80,11,6,,,,17,3,,,6,3,,
"K.L.E. Academy of Higher Education and Research, Belgaum (Id: U-0225)",,3,,,,,,,,,,,,
KLE TECHNOLOGICAL UNIVERSITY (Id: U-0854),234,128,5,2,3,,,,,,5,2,,
"Kolhan University,  West Singhbhum (Id: U-0206)",36,11,0,,4,2,8,2,1,,1,2,6,2
"Koneru Lakshmaiah Education Foundation,Guntur (Id: U-0020)",996,262,72,18,8,2,308,57,,,44,10,35,21
"Kota University, Kota (Id: U-0387)",76,85,1,,3,1,10,5,,,4,1,,
"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh (Id: U-0142)",35,15,2,1,2,,6,2,,,,1,1,3
KRISHNAGURU ADHYATMIK VISVAVIDYALAYA (Id: U-0980),8,18,,0,,3,6,8,,,,,,
"Krishna Institute of Medical Sciences Deemed University, Karad (Id: U-0311)",,1,,,,,,,,,,,,
"Krishna Kanta Hanidiqui State Open University, Guwahati (Id: U-0054)",15,25,2,,,,2,7,,,,,,
"Krishna University, Machhlipattanam (Id: U-0021)",37,21,3,4,1,1,3,4,,,,,1,
"K.R. MANGALAM UNIVERSITY, GURGAON (Id: U-0700)",63,89,2,3,,,7,7,,,3,1,2,6
KUMAR BHASKAR VARMA SANSKRIT AND ANCIENT STUDIES UNIVERSITY (Id: U-0676),15,17,,,1,2,3,1,,,,1,,1
"Kumaun University, Nainital (Id: U-0562)",184,97,35,17,,1,13,9,4,1,5,2,2,
"Kurukshetra University, Kurukshetra (Id: U-0164)",206,98,36,13,,,16,4,1,,2,,4,3
"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur (Id: U-0089)",17,11,1,,2,,2,1,,,1,1,,
"Kuvempu University, Shankaraghatta, Shimoga (Id: U-0232)",147,54,33,7,18,2,47,30,1,,7,8,3,2
"Lakshmibai National Institute of Physical Education, Gwalior (Id: U-0277)",39,10,5,1,1,,12,,,,1,1,3,
"LAKULISH YOGA UNIVERSITY, AHMEDABAD (Id: U-0734)",23,18,,,,,1,1,,,,,,
Lala lajpat Rai University of Veterinary and Animal Sciences (Id: U-0165),131,41,6,3,,,20,,,,,,6,1
"Lalit Narayan Mithila University, Darbhanga (Id: U-0068)",76,18,1,2,,1,22,4,,,7,,,1
