,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
"Dr. Babasaheb Ambedkar Technological University, Lonere (Id: U-0299)",78,37,17,9,1,,24,12,,1,3,3,7,4
"Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth,(former Konkan Krishi Vidyapeeth) Ratnagiri (Id: U-0300)",4,,,,,,1,,,,,,,
"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar (Id: U-0374)",154,37,17,6,3,1,29,,3,1,4,,23,4
Dr. B.R Ambedkar National Law University (Id: U-1070),4,2,,,,,,,,,,,,
"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",46,23,8,5,4,2,19,6,1,,1,2,1,1
"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",120,58,12,5,,,27,8,1,,6,1,1,
Dr. B. R. Ambedkar University Delhi (Id: U-0097),89,100,6,9,4,2,,3,2,1,,,89,100
"Dr.B.R.Ambedkar University, Etcherla (Id: U-0009)",67,30,9,4,3,,53,25,,,,,2,1
Dr. C.V. Raman University (Id: U-0937),66,16,4,,,,13,6,,,4,2,,
Dr. C.V RAMAN UNIVERSITY (Id: U-0994),27,16,2,,,,11,8,,,2,,1,
"Dr. C. V. Raman University, Kota Bilaspur (Id: U-0084)",166,134,11,10,1,1,38,31,,,9,5,5,6
"Dr. D.Y.Patil Vidyapeeth, Pune (Id: U-0301)",1,,,,,,,,,,,,,
"Dr. Harisingh Gaur  Vishwavidyalaya, Sagar (Id: U-0271)",166,71,35,16,4,,39,17,3,,7,3,15,6
DR HOMI BHABHA STATE UNIVERSITY MUMBAI (Id: U-1076),64,49,9,4,2,,18,10,,,2,3,4,1
"Dr K N Modi University, Tonk (Id: U-0393)",107,50,8,2,2,,11,6,,,1,2,,1
"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)",1,,,,,,1,,,,,,,
"Dr. Punjarao Deshmukh Krishi Vidyapeeth, Akola (Id: U-0302)",3,,,,,,0,,,,,,,
"Dr Rajendra Prasad Central Agricultural University, Samastipur (Id: U-0075)",48,3,6,1,,,10,,,,1,,,
"Dr. Ram Manohar Lohia  Awadh University, Faizabad (Id: U-0510)",139,39,11,4,,,33,6,,,1,,,
"Dr. Ram Manohar Lohiya National Law University, Lucknow (Id: U-0511)",20,12,3,2,,,7,2,,,1,1,1,
"Dr Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur (Id: U-0418)",36,8,3,,,,2,,,,,,,
DR. SHYAMA PRASAD MUKHERJEE UNIVERSITY (Id: U-0982),101,60,2,2,16,15,34,13,,1,7,2,15,11
Dr. Vishwanath Karad MIT World Peace University (Id: U-0938),198,182,12,14,,,48,29,,,2,,4,5
"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan (Id: U-0181)",143,59,10,8,2,2,3,1,,,,,1,1
Dr Y S R Horticulture University (Id: U-0001),33,38,10,4,1,,10,15,,,,2,1,4
"D.Y. Patil Educational Society , Kolhapur (Id: U-0294)",131,101,2,1,,,,,,,5,2,7,23
D Y PATIL INTERNATIONAL UNIVERSITY (Id: U-0984),23,24,,,,,,,,,,,1,
ERA UNIVERSITY (Id: U-1040),139,166,3,1,,,11,14,,,52,63,1,4
"Eternal University, Baru Sahib Sirmour (Id: U-0182)",58,62,3,3,,,9,,,,3,1,12,19
"Fakir Mohan University, Balasore (Id: U-0354)",54,21,4,1,1,3,,,1,,1,,,2
Footwear Design and Development Institute (Id: U-0898),29,19,1,,,,9,3,,,3,,,
GALGOTIAS UNIVERSITY (Id: U-0643),403,245,8,,42,12,109,91,,,43,10,5,7
"Gandhigram Rural Institute, Dindigul (Id: U-0453)",97,31,15,6,4,3,65,17,3,,2,2,13,4
GANDHI INSTITUTE OF ENGINEERING AND TECHNOLOGY UNIVERSITY (Id: U-1071),266,69,13,1,5,1,98,23,,,3,1,,1
"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam (Id: U-0011)",871,496,25,13,4,1,325,173,,,19,6,16,16
GANGADHAR MEHER UNIVERSITY (Id: U-0852),30,18,5,,2,3,5,1,1,,,,1,
"Ganpat University, Ganpat Vidyanagar, Kherva (Id: U-0132)",13,9,,,,,1,,,,,,,
Garden City University (Id: U-0918),46,67,,,,,1,,,,2,2,5,8
"Gauhati University, Guwahati (Id: U-0052)",245,165,8,8,22,10,32,14,2,,15,9,7,6
"Gautam Buddha University, Greater Noida, Gautam Budh Nagar (Id: U-0514)",57,39,10,2,1,,10,6,,,4,1,3,
"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar (Id: U-0554)",1,,,,,,,,,,,,,
G.D. GOENKA UNIVERSITY (Id: U-0720),116,183,,1,,,6,4,,,5,3,6,11
GEETANJALI UNIVERSITY (Id: U-0746),482,260,21,6,8,9,70,31,,,14,8,13,9
G.H. RAISONI UNIVERSITY (Id: U-0977),51,32,5,6,,,31,13,,,3,,1,
"G.L.A University, Mathura (Id: U-0513)",429,118,7,3,,,54,11,1,2,13,,4,1
GLOCAL UNIVERSITY (Id: U-0645),182,65,6,3,,,38,9,,,107,22,,4
GLS UNIVERSITY (Id: U-0775),8,2,,,,,,,,,,,,
GNA UNIVERSITY (Id: U-0789),82,36,10,1,1,,1,,,,1,,25,14
"Goa University, Goa (Id: U-0121)",97,81,1,,2,4,4,8,,,2,0,11,21
"Gokhale Institute of Politics & Economics, Pune (Id: U-0303)",18,11,2,2,,,2,1,,,,,1,
GOKUL GLOBAL UNIVERSITY (Id: U-0962),1,,,,,,,,,,,,,
"GONDWANA UNIVERSITY, GADCHIROLI (Id: U-0658)",41,15,8,3,3,1,12,3,,,,,3,2
GOPAL NARAYAN SINGH UNIVERSITY (Id: U-1066),258,86,20,9,,3,72,22,,,12,6,5,6
"Govind Guru Tribal University, Banswara (Id: U-0896)",1,,,,,,,,,,,,,
